State,Type,Name,Office,Party,Incumbent,cm_url
Kentucky,State,John Stovall,Kentucky House of Representatives District 37,Democratic,N,https://www.linkedin.com/in/john-stovall-7813822a
Kentucky,State,Ryan Stanford,Kentucky House of Representatives District 39,Democratic,N,https://www.linkedin.com/in/bridget-ryan-22622a117
Kentucky,State,William Zeitz,Kentucky House of Representatives District 40,Democratic,N,https://www.linkedin.com/in/william-zeitz-35088a126
Kentucky,State,William Adams,Kentucky House of Representatives District 41,Democratic,N,https://www.linkedin.com/in/william-d-adams
Kentucky,State,Joshua Watkins,Kentucky House of Representatives District 42,Democratic,N,https://www.linkedin.com/in/joshuawatkinsprojectmanager
Kentucky,State,Robb Adams,Kentucky House of Representatives District 47,Democratic,N,https://www.linkedin.com/in/robladams
Kentucky,State,Dencia Branscum,Kentucky House of Representatives District 56,Democratic,N,https://www.linkedin.com/in/kbranscum
Kentucky,State,Richard Henderson,Kentucky House of Representatives District 58,Democratic,N,https://www.linkedin.com/in/richard-becker-ky
Kentucky,State,Brandon Long,Kentucky House of Representatives District 68,Democratic,N,https://www.linkedin.com/in/brandon-long-209a4a1a
Kentucky,State,James Reneau,Kentucky House of Representatives District 98,Democratic,N,https://www.linkedin.com/in/james-reneau-ab06014
Kentucky,State,Joe Virgin,Kentucky House of Representatives District 98,Democratic,N,https://www.linkedin.com/in/hodgson
Kentucky,Local,Mark Lynch,Jefferson County Commission District B,Democratic,N,https://www.linkedin.com/in/mark-lynch-54b61b12b
Kentucky,Local,Emma Curtis,Lexington City Council District 4,Nonpartisan,N,https://www.linkedin.com/in/emma-curtis-b3a182211
Kentucky,Local,Joseph Hale,Lexington City Council District 7,Nonpartisan,N,https://www.linkedin.com/in/joseph-hale-8b09b951
Kentucky,Local,Amy Beasley,Lexington City Council District 8,Nonpartisan,N,https://www.linkedin.com/in/brackmarquette
Kentucky,Local,Whitney Elliott Baxter,Lexington City Council District 9,Nonpartisan,Y,https://www.linkedin.com/in/robertbolson
Kentucky,Local,Carol Clark,Louisville Metro Council District 4,Democratic,N,https://www.linkedin.com/in/carolfclark
