State,Type,Name,Office,Party,Incumbent,fd_url
Indiana,State,Vanessa Summers,Indiana House of Representatives District 99,Democratic,Y,https://www.linkedin.com/in/vanessa-summers-95902b14b
Indiana,State,Robert Johnson,Indiana House of Representatives District 100,Democratic,Y,https://www.linkedin.com/in/robert-johnson-025735115
Indiana,Local,Andrew Roberts,Allen County Coroner,Democratic,N,https://www.linkedin.com/in/ajrob
Indiana,Local,Stephanie Henry,Allen County Council At-large3 seats,Democratic,N,https://www.linkedin.com/in/stephanielcrandall
Iowa,Federal,Jay Brown,U.S. House Iowa District 4,Democratic,N,https://www.linkedin.com/in/jabaribrown
Iowa,Federal,Ryan Melton,U.S. House Iowa District 4,Democratic,N,https://www.linkedin.com/in/ryan-melton-566b811a5
Iowa,State,Ryan Lee Roenfeld,Iowa State Senate District 8,Democratic,N,https://www.linkedin.com/in/gradyholt
Iowa,State,Mike Wolfe,Iowa State Senate District 26,Democratic,N,https://www.linkedin.com/in/michaelwolfe
Iowa,State,Ed Chabal,Iowa State Senate District 46,Democratic,N,https://www.linkedin.com/in/ed-chabal-a0b95966
Iowa,State,John Dabeet,Iowa State Senate District 48,Democratic,N,https://www.linkedin.com/in/john-dabeet-1b33b493
Iowa,State,Jessica Lopez-Walker,Iowa House of Representatives District 2,Democratic,N,https://www.linkedin.com/in/larisa-kottke
Iowa,State,Benjamin Schauer,Iowa House of Representatives District 15,Democratic,N,https://www.linkedin.com/in/angela-schauer
Iowa,State,Candella Foley-Finchem,Iowa House of Representatives District 16,Democratic,N,https://www.linkedin.com/in/danielle-frey-22647810a
Iowa,State,Rory Taylor,Iowa House of Representatives District 22,Democratic,N,https://www.linkedin.com/in/rory-taylor-a30b05168
Iowa,State,Sonya Hicks,Iowa House of Representatives District 24,Democratic,N,https://www.linkedin.com/in/sonya-hicks-9594a59
Iowa,State,John Campbell Jr.,Iowa House of Representatives District 34,Democratic,N,https://www.linkedin.com/in/john-campbell-60b611292
Iowa,State,Rob Johnson,Iowa House of Representatives District 34,Democratic,N,https://www.linkedin.com/in/robjohnsonmba777
Iowa,State,Ryan Condon,Iowa House of Representatives District 51,Democratic,N,https://www.linkedin.com/in/condonryan
Iowa,State,John Anderson,Iowa House of Representatives District 53,Democratic,N,https://www.linkedin.com/in/jon-anderson-b9331843
Iowa,State,Jeremy True,Iowa House of Representatives District 59,Democratic,N,https://www.linkedin.com/in/jvt0905
Iowa,State,Jarred Johnston,Iowa House of Representatives District 76,Democratic,N,https://www.linkedin.com/in/jarred-johnson-6a833012b
Iowa,State,Kent McNally,Iowa House of Representatives District 83,Democratic,N,https://www.linkedin.com/in/kentmcnally
Iowa,State,Tracy Jones,Iowa House of Representatives District 94,Democratic,N,https://www.linkedin.com/in/tracy-a-jones
Kentucky,Federal,Morgan McGarvey,U.S. House Kentucky District 3,Democratic,Y,https://www.linkedin.com/in/amy-washburn-32b220199
Kentucky,Federal,Jared Randall,U.S. House Kentucky District 3,Democratic,N,https://www.linkedin.com/in/jerad-grundy-48053314a
Kentucky,State,Jennifer Sierra,Kentucky State Senate District 23,Democratic,N,https://www.linkedin.com/in/jennifer-sierra-76150a236
Kentucky,State,Michael Churchill,Kentucky State Senate District 33,Democratic,N,https://www.linkedin.com/in/mschurchill
Kentucky,State,David Yates,Kentucky State Senate District 37,Democratic,Y,https://www.linkedin.com/in/david-yates-3673b520
Kentucky,State,Lloyd Smith,Kentucky House of Representatives District 4,Democratic,N,https://www.linkedin.com/in/bocreason
Kentucky,State,John Whipple,Kentucky House of Representatives District 10,Democratic,N,https://www.linkedin.com/in/dwightvandevate
Kentucky,State,Alton Ayer,Kentucky House of Representatives District 12,Democratic,N,https://www.linkedin.com/in/ryan-barrow-8060407
Kentucky,State,Chanda Garner,Kentucky House of Representatives District 14,Democratic,N,https://www.linkedin.com/in/teresa-walker-46986972
Kentucky,State,Jeffery Humble,Kentucky House of Representatives District 21,Democratic,N,https://www.linkedin.com/in/jeff-pate-4366b37b
Kentucky,State,Johnny Pennington,Kentucky House of Representatives District 24,Democratic,N,https://www.linkedin.com/in/john-pennington-6a955363
Kentucky,State,Daniel Cockrell,Kentucky House of Representatives District 44,Democratic,N,https://www.linkedin.com/in/danielcockrell
Kentucky,State,Alan Gentry,Kentucky House of Representatives District 46,Democratic,Y,https://www.linkedin.com/in/angela-gentry-3750b312a
Kentucky,State,Erika Hancock,Kentucky House of Representatives District 57,Democratic,N,https://www.linkedin.com/in/carrie-roth-7b248899
Kentucky,State,Richard Henderson,Kentucky House of Representatives District 58,Democratic,N,https://www.linkedin.com/in/chelsea-mills-cpa-1824a490
Kentucky,State,Kevin Kidwell,Kentucky House of Representatives District 62,Democratic,N,https://www.linkedin.com/in/kevin-kidwell-rlf
